500;0,011
1000;0,01
1500;0,0030
2000;0,0040
2500;0,0040
3000;0,0090
3500;0,012
4000;0,012
4500;0,013
5000;0,015
5500;0,031
6000;0,032
6500;0,031
7000;0,047
7500;0,048
8000;0,055
8500;0,059
9000;0,06
9500;0,071
10000;0,082
10500;0,08
11000;0,095
11500;0,122
12000;0,107
12500;0,117
13000;0,13
13500;0,142
14000;0,156
14500;0,156
15000;0,187
15500;0,183
16000;0,183
16500;0,221
17000;0,235
17500;0,239
18000;0,264
18500;0,262
19000;0,312
19500;0,314
20000;0,34
20500;0,361
21000;0,394
21500;0,365
22000;0,384
22500;0,457
23000;0,441
23500;0,492
24000;0,636
24500;0,528
25000;0,765
25500;0,572
26000;0,612
26500;0,642
27000;0,584
27500;0,617
28000;0,754
28500;0,741
29000;0,741
29500;0,879
30000;1,158
30500;1,139
31000;1,235
31500;1,193
32000;0,875
32500;0,872
33000;0,899
33500;0,936
34000;1,003
34500;1,055
35000;1,046
35500;1,082
36000;1,304
36500;1,222
37000;1,357
37500;1,316
38000;1,304
38500;1,32
39000;1,323
39500;1,42
40000;1,605
40500;1,514
41000;1,55
41500;1,619
42000;1,572
42500;1,621
43000;2,513
43500;3,724
44000;1,883
44500;1,847
45000;2,222
45500;2,197
46000;2,362
46500;2,444
47000;2,578
47500;2,429
48000;3,113
48500;4,451
49000;3,429
49500;5,83
50000;5,307
