10000;0,031
20000;0,031
30000;0,031
40000;0,047
50000;0,047
60000;0,063
70000;0,063
80000;0,078
90000;0,078
100000;0,094
110000;0,109
120000;0,125
130000;0,125
140000;0,141
150000;0,156
160000;0,172
170000;0,203
180000;0,219
190000;0,25
200000;0,265
210000;0,297
220000;0,312
230000;0,343
240000;0,359
250000;0,39
260000;0,421
270000;0,437
280000;0,468
290000;0,499
300000;0,531
310000;0,562
320000;0,593
330000;0,624
340000;0,655
350000;0,688
360000;0,719
370000;0,75
380000;0,797
390000;0,828
400000;0,859
410000;0,906
420000;0,937
430000;0,984
440000;1,031
450000;1,078
460000;1,109
470000;1,156
480000;1,202
490000;1,265
500000;1,312
510000;1,358
520000;1,405
530000;1,468
540000;1,514
550000;1,561
560000;1,624
570000;1,67
580000;1,734
590000;1,796
600000;1,843
610000;1,905
620000;1,968
630000;2,03
640000;2,093
650000;2,155
660000;2,217
670000;2,28
680000;2,358
690000;2,42
700000;2,498
710000;2,561
720000;2,623
730000;2,701
740000;2,764
750000;2,842
760000;2,92
770000;2,983
780000;3,061
790000;3,139
800000;3,217
810000;3,295
820000;3,373
830000;3,466
840000;3,544
850000;3,622
860000;3,7
870000;3,794
880000;3,873
890000;3,951
900000;4,045
910000;4,123
920000;4,216
930000;4,31
940000;4,403
950000;4,497
960000;4,591
970000;4,684
980000;4,762
990000;4,856
1000000;4,95
1010000;5,044
1020000;5,138
1030000;5,231
1040000;5,325
1050000;5,418
1060000;5,528
1070000;5,621
1080000;5,73
1090000;5,84
1100000;5,949
1110000;6,059
1120000;6,168
1130000;6,277
1140000;6,387
1150000;6,496
1160000;6,605
1170000;6,73
1180000;6,839
1190000;6,933
1200000;7,057
1210000;7,152
1220000;7,277
1230000;7,386
1240000;7,495
1250000;7,62
1260000;7,745
1270000;7,885
1280000;8,026
1290000;8,15
1300000;8,292
1310000;8,417
1320000;8,557
1330000;8,666
1340000;8,791
1350000;8,916
1360000;9,056
1370000;9,197
1380000;9,322
1390000;9,463
1400000;9,588
1410000;9,712
1420000;9,853
1430000;9,978
1440000;10,118
1450000;10,243
1460000;10,384
1470000;10,525
1480000;10,649
1490000;10,79
1500000;10,93
1510000;11,071
1520000;11,211
1530000;11,351
1540000;11,493
1550000;11,633
1560000;11,774
1570000;11,914
1580000;12,07
1590000;12,226
1600000;12,366
1610000;12,523
1620000;12,679
1630000;12,835
1640000;12,976
1650000;13,132
1660000;13,288
1670000;13,428
1680000;13,585
1690000;13,741
1700000;13,897
1710000;14,038
1720000;14,194
1730000;14,365
1740000;14,537
1750000;14,694
1760000;14,85
1770000;15,006
1780000;15,177
1790000;15,333
1800000;15,505
1810000;15,677
1820000;15,849
1830000;16,021
1840000;16,208
