1000;25914100;71858;
2000;41061407;124897;
3000;49766546;212153;
4000;48560350;279449;
5000;78460883;8822622;
6000;128903811;138584;
7000;151182784;62163;
8000;172331414;69007;
9000;218179962;76992;
10000;277443231;85545;
11000;368697771;94671;
12000;434382676;103796;
13000;477982511;112350;
14000;560798245;442557;
15000;645562142;1696088;
16000;740762624;135163;
17000;869191370;143717;
18000;989309628;155693;
19000;1098168921;160256;
